area	file	words	AutomatedReadability	ColemanLiau	FleschKincaid	FleschReadingEase	GunningFog	LIX	SMOG
agent-docs	.claude/skills/tutor/SKILL.md	393	4.2	6.9	5.2	75.9	6.6	30.2	8.6
repo-docs	AGENTS.md	1696	6.0	9.0	6.5	67.1	7.8	31.8	9.3
repo-docs	CODE_OF_CONDUCT.md	471	13.7	16.5	15.3	12.8	17.2	57.6	16.0
repo-docs	CONTRIBUTING.md	386	5.2	8.6	5.9	68.5	7.3	29.3	8.8
repo-docs	NOTICE.md	170	5.8	8.4	8.1	57.5	10.9	36.5	11.1
repo-docs	README.md	612	6.8	9.0	7.8	62.4	9.4	35.4	10.3
repo-docs	SECURITY.md	137	8.0	11.7	9.2	48.0	10.2	40.0	10.7
agent-docs	docs/agents/issue-tracker.md	247	4.9	7.7	6.6	66.7	6.6	23.6	8.5
agent-docs	docs/agents/writing-a-lesson.md	987	4.8	7.5	5.4	75.4	7.4	29.1	8.8
plan	docs/plan/README.md	1105	8.9	11.4	8.9	55.4	10.1	41.8	11.0
plan	docs/plan/explore/01-prior-sbp-training-and-course-compare.md	742	12.7	15.1	12.2	35.5	14.2	50.5	13.6
plan	docs/plan/explore/02-agent-engineer-course.md	782	8.0	10.8	8.8	54.4	10.5	39.6	11.0
plan	docs/plan/explore/03-cs50-pedagogy.md	788	10.0	11.7	9.8	53.0	11.3	43.4	11.7
plan	docs/plan/explore/04-anthropic-academy.md	727	8.3	12.7	8.3	49.0	10.7	41.3	10.2
plan	docs/plan/explore/05-career-model-and-deeplearning-ai.md	797	9.8	12.5	10.4	45.1	12.4	41.0	12.6
plan	docs/plan/explore/06-lesson-inventory.md	1732	6.7	9.1	8.0	59.8	9.0	35.0	10.3
plan	docs/plan/explore/07-scorm-interactions-and-duck-tutor.md	1713	8.3	11.0	8.7	55.6	9.9	39.9	10.9
plan	docs/plan/explore/08-diataxis.md	726	9.5	11.7	9.4	53.7	11.2	44.1	11.6
plan	docs/plan/explore/09-brilliant-skills-map.md	1948	8.6	11.3	9.4	50.9	10.8	41.7	11.8
plan	docs/plan/explore/10-execute-program.md	1343	8.5	9.9	8.9	58.5	10.4	37.8	11.3
plan	docs/plan/explore/11-roadmap-sh.md	2012	12.3	11.7	11.8	48.3	13.3	48.0	12.9
plan	docs/plan/explore/12-learn-prompting.md	1469	12.7	12.4	12.1	45.6	14.0	48.2	13.9
agent-docs	docs/prose/README.md	701	7.4	9.9	7.5	63.9	8.5	34.5	10.2
agent-docs	docs/prose/report-template.md	250	4.5	7.8	4.7	76.8	5.8	26.3	7.7
spec	docs/spec/000-specs.md	768	4.7	7.3	5.7	73.5	7.0	28.5	8.6
spec	docs/spec/S01-dictionary.md	2651	6.2	9.0	6.7	66.9	8.1	34.8	9.3
spec	docs/spec/S02-topic-map.md	5907	7.8	11.1	8.0	57.7	9.6	36.3	10.7
spec	docs/spec/S03-lesson-authoring.md	1247	7.0	9.9	7.4	62.5	8.9	38.4	10.2
spec	docs/spec/S04-progress-record.md	654	6.1	8.9	6.2	70.9	6.6	32.2	8.3
spec	docs/spec/S05-spaced-review.md	1141	7.5	9.4	7.6	65.9	8.2	36.6	9.4
spec	docs/spec/S06-release-1.md	816	7.3	9.4	7.9	63.1	9.5	36.0	10.4
lessons	site/src/content/docs/building-agents/agent-loop.mdx	811	4.5	6.9	5.1	78.5	6.9	25.1	7.8
lessons	site/src/content/docs/building-agents/index.mdx	37	-0.8	1.4	4.8	72.8	5.7	21.3	7.2
lessons	site/src/content/docs/coding-with-agents/first-session.mdx	1805	4.6	6.3	5.4	79.5	7.5	26.5	8.5
lessons	site/src/content/docs/coding-with-agents/index.mdx	50	11.2	13.8	10.4	46.3	11.3	52.4	12.2
lessons	site/src/content/docs/concepts/how-models-work.mdx	1165	6.7	9.0	7.2	65.9	8.8	32.6	9.6
lessons	site/src/content/docs/concepts/index.mdx	33	1.8	4.5	0.6	102.6	2.6	14.2	3.1
lessons	site/src/content/docs/contributing.md	200	6.0	9.7	5.6	68.6	5.8	30.1	8.3
lessons	site/src/content/docs/customizing-agents/index.mdx	56	9.1	10.5	8.7	61.0	10.2	34.8	10.1
lessons	site/src/content/docs/customizing-agents/instructions.mdx	1964	6.7	7.8	6.9	73.1	9.0	31.7	9.8
lessons	site/src/content/docs/glossary.mdx	35	3.4	6.0	6.5	57.1	7.6	26.1	7.8
lessons	site/src/content/docs/guides/slides.md	258	4.9	7.4	5.2	78.4	6.6	27.4	7.9
lessons	site/src/content/docs/guides/writing-pages.md	250	6.0	8.0	6.4	73.0	8.1	30.4	8.6
lessons	site/src/content/docs/index.mdx	250	4.8	7.3	4.4	83.7	5.9	29.1	7.5
lessons	site/src/content/docs/map.mdx	72	3.3	6.1	5.5	71.7	5.4	22.3	6.7
lessons	site/src/content/docs/progress.mdx	57	7.4	11.3	3.7	84.2	3.5	35.6	7.8
lessons	site/src/content/docs/safety/agent-risk.mdx	2877	5.8	7.1	6.4	75.5	8.4	29.1	9.3
lessons	site/src/content/docs/safety/index.mdx	60	5.4	4.8	6.2	82.8	7.2	26.3	7.2
lessons	site/src/content/docs/using-agents/delegating.mdx	2192	6.2	7.1	6.5	75.6	8.4	29.6	9.3
lessons	site/src/content/docs/using-agents/index.mdx	53	3.5	4.0	3.2	98.5	6.0	21.7	3.1
